,
State,Score
Alabama,5.26
Alaska,4.31
Arizona,5.67
Arkansas,4.98
California,5.05
Colorado,4.53
Connecticut,5.07
Delaware,5.86
Florida,6.01
Georgia,4.61
Hawaii,4.86
Idaho,4.01
Illinois,4.58
Indiana,4.96
Iowa,4.72
Kansas,5.41
Kentucky,3.91
Louisiana,5.79
Maine,4.8
Maryland,4.79
Massachusetts,3.29
Michigan,5.27
Minnesota,4.78
Mississippi,5.77
Missouri,5.56
Montana,5.1
Nebraska,5.55
Nevada,4.17
New Hampshire,4.44
New Jersey,4.83
New MTable. 7 exico,5.61
New York,4.68
North Carolina,5.56
North Dakota,5.46
Ohio,5.67
Oklahoma,6.35
Oregon,4.69
Pennsylvania,4.56
Rhode Island,4.81
South Carolina,4.88
South Dakota,4.52
Tennessee,4.96
Texas,5.51
Utah,5.36
Vermont,5.32
Virginia,4.56
Washington,5.12
West Virginia,4.86
Wisconsin,4.68
Wyoming,4.87
District of Columbia,4.74